type	time	latitude	longitude	altitude (m)	pace (min/km)	distance (km)	distance_interval (m)	hr	name	desc
T	2023-01-15 12:09:06	51.499760000	-0.041385000	6.3	5.26	5.700	6.34	175		
T	2023-01-15 12:09:09	51.499797000	-0.041477000	6.3	6.58	5.707	7.60	174		
T	2023-01-15 12:09:11	51.499828000	-0.041546000	6.3	5.65	5.713	5.90	174		
T	2023-01-15 12:09:14	51.499866000	-0.041630000	6.2	6.94	5.720	7.20	174		
T	2023-01-15 12:09:17	51.499923000	-0.041758000	6.1	4.58	5.731	10.92	174		
T	2023-01-15 12:09:19	51.499958000	-0.041823000	6.1	5.59	5.737	5.96	174		
T	2023-01-15 12:09:22	51.499987000	-0.041940000	6.1	5.72	5.746	8.74	174		
T	2023-01-15 12:09:24	51.500013000	-0.042011000	6.0	5.83	5.752	5.72	174		
T	2023-01-15 12:09:37	51.500166000	-0.042487000	6.1	5.83	5.789	37.18	173		
T	2023-01-15 12:09:40	51.500167000	-0.042616000	6.1	5.58	5.798	8.96	174		
T	2023-01-15 12:09:42	51.500166000	-0.042698000	6.2	5.85	5.804	5.70	174		
T	2023-01-15 12:09:45	51.500167000	-0.042837000	6.2	5.18	5.813	9.65	174		
T	2023-01-15 12:09:47	51.500133000	-0.042925000	6.2	4.64	5.820	7.19	175		
T	2023-01-15 12:09:50	51.500126000	-0.043044000	6.3	6.02	5.829	8.30	175		
T	2023-01-15 12:09:52	51.500105000	-0.043119000	6.3	5.84	5.834	5.71	176		
T	2023-01-15 12:09:55	51.500109000	-0.043249000	6.3	5.53	5.844	9.04	176		
T	2023-01-15 12:09:58	51.500089000	-0.043380000	6.3	5.34	5.853	9.36	176		
T	2023-01-15 12:10:00	51.500069000	-0.043462000	6.3	5.45	5.859	6.11	176		
T	2023-01-15 12:10:03	51.500043000	-0.043566000	6.3	6.43	5.867	7.78	176		
T	2023-01-15 12:10:05	51.500024000	-0.043647000	6.3	5.55	5.873	6.01	176		
T	2023-01-15 12:10:08	51.500014000	-0.043782000	6.3	5.30	5.882	9.44	176		
T	2023-01-15 12:10:10	51.499990000	-0.043865000	6.2	5.25	5.889	6.35	176		
T	2023-01-15 12:10:13	51.499986000	-0.043993000	6.2	5.62	5.897	8.90	176		
T	2023-01-15 12:10:15	51.499960000	-0.044069000	6.2	5.54	5.903	6.02	176		
T	2023-01-15 12:10:18	51.499949000	-0.044215000	6.1	4.90	5.914	10.21	176		
T	2023-01-15 12:10:21	51.499931000	-0.044334000	6.0	5.88	5.922	8.50	178		
T	2023-01-15 12:10:23	51.499879000	-0.044386000	6.0	4.89	5.929	6.82	178		
T	2023-01-15 12:10:26	51.499830000	-0.044483000	5.9	5.77	5.938	8.67	178		
T	2023-01-15 12:10:28	51.499776000	-0.044513000	5.9	5.24	5.944	6.36	178		
T	2023-01-15 12:10:31	51.499698000	-0.044606000	5.7	4.62	5.955	10.82	176		
T	2023-01-15 12:10:33	51.499648000	-0.044648000	5.7	5.31	5.961	6.28	176		
T	2023-01-15 12:10:36	51.499568000	-0.044745000	5.5	4.48	5.972	11.16	176		
T	2023-01-15 12:10:39	51.499503000	-0.044785000	5.5	6.45	5.980	7.75	176		
T	2023-01-15 12:10:41	51.499462000	-0.044832000	5.5	5.94	5.986	5.61	176		
T	2023-01-15 12:10:44	51.499396000	-0.044887000	5.5	6.04	5.994	8.28	176		
T	2023-01-15 12:10:46	51.499360000	-0.044922000	5.5	7.11	5.999	4.69	176		
T	2023-01-15 12:10:49	51.499306000	-0.044976000	5.5	7.06	6.006	7.08	175		
T	2023-01-15 12:10:51	51.499268000	-0.045011000	5.5	6.84	6.011	4.88	175		
T	2023-01-15 12:10:54	51.499208000	-0.045082000	5.6	6.02	6.019	8.30	175		
T	2023-01-15 12:10:56	51.499172000	-0.045128000	5.6	6.51	6.024	5.12	175		
T	2023-01-15 12:10:59	51.499108000	-0.045168000	5.6	6.54	6.032	7.64	173		
T	2023-01-15 12:11:01	51.499070000	-0.045174000	5.7	7.85	6.036	4.25	173		
T	2023-01-15 12:11:04	51.499050000	-0.045278000	5.6	6.62	6.043	7.56	172		
T	2023-01-15 12:11:07	51.499111000	-0.045377000	5.5	5.18	6.053	9.66	172		
T	2023-01-15 12:11:09	51.499140000	-0.045430000	5.5	6.81	6.058	4.89	172		
T	2023-01-15 12:11:12	51.499174000	-0.045524000	5.4	6.63	6.066	7.54	173		
T	2023-01-15 12:11:15	51.499179000	-0.045655000	5.3	5.49	6.075	9.11	173		
T	2023-01-15 12:11:17	51.499179000	-0.045745000	5.3	5.33	6.081	6.25	173		
T	2023-01-15 12:11:20	51.499189000	-0.045846000	5.2	7.04	6.088	7.10	173		
T	2023-01-15 12:11:22	51.499187000	-0.045923000	5.1	6.23	6.093	5.35	173		
T	2023-01-15 12:11:25	51.499233000	-0.046019000	5.0	5.95	6.102	8.40	173		
T	2023-01-15 12:11:27	51.499259000	-0.046075000	5.0	6.88	6.107	4.85	173		
T	2023-01-15 12:11:30	51.499299000	-0.046167000	4.9	6.42	6.114	7.79	173		
T	2023-01-15 12:11:32	51.499328000	-0.046208000	4.8	7.75	6.119	4.30	173		
T	2023-01-15 12:11:35	51.499371000	-0.046277000	4.7	7.38	6.125	6.77	172		
T	2023-01-15 12:11:37	51.499380000	-0.046329000	4.7	8.90	6.129	3.75	172		
T	2023-01-15 12:11:41	51.499405000	-0.046440000	4.6	8.14	6.137	8.19	172		
T	2023-01-15 12:11:43	51.499337000	-0.046506000	4.7	3.77	6.146	8.85	172		
T	2023-01-15 12:11:45	51.499291000	-0.046546000	4.8	5.72	6.152	5.82	171		
T	2023-01-15 12:11:48	51.499231000	-0.046625000	4.8	5.79	6.161	8.64	171		
T	2023-01-15 12:11:50	51.499197000	-0.046680000	4.8	6.20	6.166	5.38	171		
T	2023-01-15 12:11:53	51.499134000	-0.046758000	4.8	5.64	6.175	8.86	172		
T	2023-01-15 12:11:55	51.499083000	-0.046796000	4.8	5.33	6.181	6.26	172		
T	2023-01-15 12:11:58	51.499020000	-0.046856000	4.8	6.13	6.189	8.15	172		
T	2023-01-15 12:12:00	51.498981000	-0.046894000	4.8	6.56	6.194	5.08	172		
T	2023-01-15 12:12:03	51.498911000	-0.046968000	4.8	5.36	6.204	9.33	172		
T	2023-01-15 12:12:06	51.498849000	-0.047039000	4.8	5.90	6.212	8.48	172		
T	2023-01-15 12:12:08	51.498816000	-0.047096000	4.8	6.17	6.218	5.40	172		
T	2023-01-15 12:12:11	51.498749000	-0.047128000	4.8	6.43	6.225	7.78	173		
T	2023-01-15 12:12:13	51.498706000	-0.047169000	4.8	5.99	6.231	5.57	173		
T	2023-01-15 12:12:16	51.498646000	-0.047224000	4.8	6.50	6.239	7.69	173		
T	2023-01-15 12:12:18	51.498613000	-0.047315000	4.8	4.56	6.246	7.31	173		
T	2023-01-15 12:12:21	51.498594000	-0.047462000	4.8	4.80	6.256	10.42	173		
T	2023-01-15 12:12:23	51.498598000	-0.047564000	4.8	4.70	6.264	7.10	173		
T	2023-01-15 12:12:26	51.498635000	-0.047719000	4.7	4.34	6.275	11.52	174		
T	2023-01-15 12:12:29	51.498625000	-0.047843000	4.7	5.76	6.284	8.68	174		
T	2023-01-15 12:12:31	51.498630000	-0.047899000	4.8	8.49	6.288	3.93	174		
T	2023-01-15 12:12:34	51.498633000	-0.048038000	4.8	5.18	6.297	9.66	174		
T	2023-01-15 12:12:36	51.498570000	-0.048103000	4.9	4.00	6.306	8.34	174		
T	2023-01-15 12:12:39	51.498458000	-0.048160000	4.9	3.82	6.319	13.07	174		
T	2023-01-15 12:12:41	51.498375000	-0.048178000	4.9	3.58	6.328	9.32	174		
T	2023-01-15 12:12:44	51.498270000	-0.048225000	4.9	4.12	6.340	12.13	175		
T	2023-01-15 12:12:46	51.498214000	-0.048240000	4.9	5.28	6.346	6.32	175		
T	2023-01-15 12:12:49	51.498105000	-0.048209000	4.9	4.06	6.359	12.32	175		
T	2023-01-15 12:12:52	51.497981000	-0.048183000	5.0	3.59	6.373	13.91	175		
T	2023-01-15 12:12:54	51.497929000	-0.048182000	5.1	5.76	6.379	5.79	175		
T	2023-01-15 12:12:57	51.497859000	-0.048241000	5.3	5.68	6.387	8.80	176		
T	2023-01-15 12:12:59	51.497829000	-0.048250000	5.3	9.82	6.391	3.40	176		
T	2023-01-15 12:33:57	51.496563000	-0.047023000	5.6	127.36	6.555	164.62	176		
T	2023-01-15 12:33:59	51.496566000	-0.047134000	5.5	4.32	6.563	7.72	176		
T	2023-01-15 12:34:02	51.496507000	-0.047298000	5.5	3.80	6.576	13.15	176		
T	2023-01-15 12:34:04	51.496496000	-0.047368000	5.5	6.65	6.581	5.01	176		
T	2023-01-15 12:34:07	51.496480000	-0.047471000	5.5	6.78	6.589	7.37	176		
T	2023-01-15 12:34:09	51.496465000	-0.047563000	5.5	5.05	6.595	6.60	176		
T	2023-01-15 12:34:12	51.496413000	-0.047676000	5.6	5.13	6.605	9.75	176		
T	2023-01-15 12:34:14	51.496411000	-0.047771000	5.6	5.05	6.612	6.60	176		
T	2023-01-15 12:34:18	51.496365000	-0.047893000	5.6	6.74	6.621	9.90	176		
T	2023-01-15 12:34:20	51.496289000	-0.047935000	5.7	3.73	6.630	8.94	176		
T	2023-01-15 12:34:22	51.496229000	-0.047899000	5.8	4.68	6.637	7.13	176		
T	2023-01-15 12:34:25	51.496153000	-0.047843000	5.8	5.37	6.647	9.31	176		
T	2023-01-15 12:34:27	51.496100000	-0.047858000	5.8	5.57	6.653	5.99	176		
T	2023-01-15 12:34:30	51.496028000	-0.047811000	5.8	5.78	6.661	8.65	176		
T	2023-01-15 12:34:32	51.495968000	-0.047774000	5.8	4.66	6.669	7.15	176		
T	2023-01-15 12:34:35	51.495889000	-0.047747000	5.8	5.56	6.678	8.99	176		
T	2023-01-15 12:34:37	51.495835000	-0.047743000	5.9	5.54	6.684	6.01	176		
T	2023-01-15 12:34:40	51.495782000	-0.047813000	5.9	6.54	6.691	7.64	176		
T	2023-01-15 12:34:42	51.495729000	-0.047842000	5.9	5.35	6.697	6.23	176		
T	2023-01-15 12:34:45	51.495653000	-0.047840000	5.9	5.91	6.706	8.46	176		
T	2023-01-15 12:34:47	51.495610000	-0.047766000	5.9	4.75	6.713	7.02	176		
T	2023-01-15 12:34:50	51.495531000	-0.047748000	5.9	5.63	6.722	8.88	176		
T	2023-01-15 12:34:53	51.495445000	-0.047736000	5.9	5.21	6.731	9.60	176		
T	2023-01-15 12:34:55	51.495400000	-0.047688000	5.9	5.54	6.737	6.01	176		
T	2023-01-15 12:34:58	51.495311000	-0.047699000	5.9	5.03	6.747	9.93	176		
T	2023-01-15 12:35:00	51.495255000	-0.047689000	5.9	5.32	6.754	6.27	176		
T	2023-01-15 12:35:03	51.495177000	-0.047665000	5.9	5.66	6.762	8.84	176		
T	2023-01-15 12:35:06	51.495107000	-0.047570000	5.9	4.90	6.773	10.21	176		
T	2023-01-15 12:35:08	51.495073000	-0.047489000	5.9	4.92	6.779	6.78	176		
T	2023-01-15 12:35:11	51.495032000	-0.047384000	5.9	5.81	6.788	8.60	176		
T	2023-01-15 12:35:13	51.494959000	-0.047399000	5.9	4.07	6.796	8.19	176		
T	2023-01-15 12:35:16	51.494877000	-0.047349000	6.0	5.12	6.806	9.76	176		
T	2023-01-15 12:35:18	51.494835000	-0.047309000	6.0	6.13	6.811	5.44	176		
T	2023-01-15 12:35:21	51.494790000	-0.047250000	6.0	7.73	6.818	6.47	176		
T	2023-01-15 12:35:23	51.494721000	-0.047239000	6.0	4.32	6.826	7.71	176		
T	2023-01-15 12:35:26	51.494671000	-0.047167000	6.1	6.68	6.833	7.48	176		
T	2023-01-15 12:35:29	51.494580000	-0.047196000	6.0	4.84	6.843	10.32	176		
T	2023-01-15 12:35:31	51.494530000	-0.047167000	6.0	5.63	6.849	5.92	176		
T	2023-01-15 12:35:34	51.494450000	-0.047120000	6.0	5.27	6.859	9.48	176		
T	2023-01-15 12:35:36	51.494404000	-0.047080000	6.0	5.72	6.865	5.82	176		
T	2023-01-15 12:35:39	51.494317000	-0.047078000	5.9	5.17	6.874	9.68	176		
T	2023-01-15 12:35:41	51.494268000	-0.047036000	5.9	5.39	6.881	6.18	176		
T	2023-01-15 12:35:44	51.494186000	-0.047002000	5.9	5.31	6.890	9.42	176		
T	2023-01-15 12:35:46	51.494131000	-0.046958000	5.9	4.87	6.897	6.84	176		
T	2023-01-15 12:35:49	51.494037000	-0.046905000	6.0	4.51	6.908	11.09	176		
T	2023-01-15 12:35:52	51.494006000	-0.046769000	6.1	4.97	6.918	10.06	176		
T	2023-01-15 12:35:54	51.494002000	-0.046647000	6.1	3.93	6.926	8.48	176		
T	2023-01-15 12:35:57	51.494011000	-0.046503000	6.1	4.97	6.936	10.05	176		
T	2023-01-15 12:35:59	51.494008000	-0.046414000	6.1	5.39	6.943	6.19	176		
T	2023-01-15 12:36:02	51.494054000	-0.046326000	6.1	6.27	6.951	7.97	176		
T	2023-01-15 12:36:04	51.494007000	-0.046218000	6.1	3.65	6.960	9.14	176		
T	2023-01-15 12:36:07	51.493990000	-0.046059000	6.1	4.46	6.971	11.20	176		
T	2023-01-15 12:36:10	51.494033000	-0.045920000	6.1	4.64	6.982	10.77	176		
T	2023-01-15 12:36:12	51.494021000	-0.045765000	6.1	3.07	6.993	10.85	176		
T	2023-01-15 12:36:15	51.494039000	-0.045647000	6.1	5.93	7.001	8.44	176		
T	2023-01-15 12:36:17	51.494091000	-0.045607000	6.1	5.19	7.007	6.42	176		
T	2023-01-15 12:36:20	51.494065000	-0.045468000	6.0	4.96	7.018	10.08	176		
T	2023-01-15 12:36:22	51.494133000	-0.045378000	5.9	3.40	7.027	9.81	176		
T	2023-01-15 12:36:25	51.494189000	-0.045223000	5.7	4.02	7.040	12.44	176		
T	2023-01-15 12:36:28	51.494265000	-0.045133000	5.5	4.76	7.050	10.51	176		
T	2023-01-15 12:36:30	51.494313000	-0.045067000	5.4	4.74	7.057	7.04	176		
T	2023-01-15 12:36:32	51.494355000	-0.045051000	5.3	6.94	7.062	4.80	176		
T	2023-01-15 12:36:35	51.494418000	-0.045025000	5.1	6.91	7.069	7.24	176		
T	2023-01-15 12:36:38	51.494475000	-0.044971000	5.0	6.79	7.077	7.37	176		
T	2023-01-15 12:36:40	51.494528000	-0.044890000	5.0	4.09	7.085	8.15	176		
T	2023-01-15 12:36:43	51.494579000	-0.044914000	5.0	8.45	7.091	5.91	176		
T	2023-01-15 12:36:45	51.494618000	-0.044890000	5.0	7.17	7.095	4.65	176		
T	2023-01-15 12:36:49	51.494547000	-0.044901000	5.0	8.40	7.103	7.94	176		
T	2023-01-15 12:36:51	51.494441000	-0.044687000	5.1	1.76	7.122	18.97	176		
T	2023-01-15 12:36:53	51.494402000	-0.044508000	5.2	2.53	7.136	13.17	176		
T	2023-01-15 12:36:56	51.494270000	-0.044366000	5.3	2.83	7.153	17.69	176		
T	2023-01-15 12:36:58	51.494146000	-0.044231000	5.3	2.00	7.170	16.68	176		
T	2023-01-15 12:37:01	51.494022000	-0.044152000	5.3	3.37	7.185	14.85	176		
T	2023-01-15 12:37:03	51.493916000	-0.044124000	5.2	2.79	7.197	11.95	176		
T	2023-01-15 12:37:06	51.493829000	-0.044105000	5.2	5.12	7.206	9.77	176		
T	2023-01-15 12:37:08	51.493762000	-0.044118000	5.2	4.44	7.214	7.51	176		
T	2023-01-15 12:37:11	51.493669000	-0.044092000	5.2	4.76	7.224	10.50	176		
T	2023-01-15 12:37:13	51.493618000	-0.044053000	5.2	5.30	7.231	6.29	176		
T	2023-01-15 12:37:16	51.493537000	-0.043976000	5.2	4.77	7.241	10.48	176		
T	2023-01-15 12:37:19	51.493512000	-0.043950000	5.2	15.08	7.245	3.32	176		
T	2023-01-15 12:37:23	51.493451000	-0.043901000	5.2	8.78	7.252	7.59	176		
T	2023-01-15 12:37:24	51.493365000	-0.043894000	5.3	1.74	7.262	9.58	176		
T	2023-01-15 12:37:26	51.493319000	-0.043865000	5.3	6.06	7.267	5.50	176		
T	2023-01-15 12:37:29	51.493218000	-0.043780000	5.2	3.94	7.280	12.69	176		
T	2023-01-15 12:37:31	51.493168000	-0.043780000	5.2	5.99	7.285	5.56	176		
T	2023-01-15 12:37:34	51.493082000	-0.043751000	5.1	5.11	7.295	9.78	176		
T	2023-01-15 12:37:37	51.493008000	-0.043710000	4.9	5.74	7.304	8.71	176		
T	2023-01-15 12:37:39	51.492957000	-0.043675000	4.8	5.40	7.310	6.17	176		
T	2023-01-15 12:37:42	51.492880000	-0.043637000	4.4	5.58	7.319	8.96	176		
T	2023-01-15 12:37:44	51.492831000	-0.043607000	4.2	5.71	7.325	5.84	176		
T	2023-01-15 12:37:47	51.492751000	-0.043590000	3.8	5.57	7.334	8.98	176		
T	2023-01-15 12:37:49	51.492693000	-0.043572000	3.5	5.07	7.341	6.57	176		
T	2023-01-15 12:37:52	51.492626000	-0.043493000	3.1	5.40	7.350	9.26	176		
T	2023-01-15 12:37:54	51.492600000	-0.043408000	2.9	5.07	7.356	6.57	176		
T	2023-01-15 12:37:57	51.492598000	-0.043280000	3.0	5.62	7.365	8.89	176		
T	2023-01-15 12:38:00	51.492601000	-0.043128000	3.0	4.73	7.376	10.56	176		
T	2023-01-15 12:38:02	51.492617000	-0.043024000	3.1	4.48	7.383	7.44	176		
T	2023-01-15 12:38:05	51.492668000	-0.042900000	3.1	4.85	7.394	10.31	176		
T	2023-01-15 12:38:07	51.492686000	-0.042840000	3.2	7.21	7.398	4.62	176		
T	2023-01-15 12:38:10	51.492735000	-0.042737000	3.2	5.56	7.407	8.99	176		
T	2023-01-15 12:38:12	51.492746000	-0.042642000	3.2	4.97	7.414	6.71	176		
T	2023-01-15 12:38:15	51.492774000	-0.042515000	3.3	5.35	7.423	9.35	176		
T	2023-01-15 12:38:18	51.492788000	-0.042395000	3.3	5.90	7.432	8.48	176		
T	2023-01-15 12:38:20	51.492756000	-0.042306000	3.4	4.67	7.439	7.13	176		
T	2023-01-15 12:38:23	51.492680000	-0.042214000	2.9	4.72	7.449	10.60	176		
T	2023-01-15 12:38:25	51.492631000	-0.042182000	2.7	5.66	7.455	5.89	176		
T	2023-01-15 12:38:28	51.492563000	-0.042171000	2.6	6.58	7.463	7.60	176		
T	2023-01-15 12:38:30	51.492510000	-0.042162000	2.4	5.62	7.469	5.93	176		
T	2023-01-15 12:38:33	51.492438000	-0.042120000	2.3	5.87	7.477	8.53	176		
T	2023-01-15 12:38:35	51.492409000	-0.042057000	2.3	6.13	7.483	5.44	176		
T	2023-01-15 12:38:38	51.492431000	-0.041886000	2.2	4.12	7.495	12.13	176		
T	2023-01-15 12:38:40	51.492438000	-0.041825000	2.2	7.74	7.499	4.31	176		
T	2023-01-15 12:38:43	51.492469000	-0.041676000	2.2	4.58	7.510	10.91	176		
T	2023-01-15 12:38:46	51.492469000	-0.041555000	2.2	5.95	7.519	8.40	176		
T	2023-01-15 12:38:48	51.492510000	-0.041502000	2.2	5.69	7.524	5.86	176		
T	2023-01-15 12:38:51	51.492541000	-0.041393000	2.2	6.01	7.533	8.32	176		
T	2023-01-15 12:38:53	51.492577000	-0.041327000	2.3	5.48	7.539	6.09	176		
T	2023-01-15 12:38:56	51.492593000	-0.041186000	2.3	5.02	7.549	9.95	176		
T	2023-01-15 12:38:58	51.492573000	-0.041078000	2.3	4.26	7.557	7.82	176		
T	2023-01-15 12:39:01	51.492576000	-0.040952000	2.4	5.71	7.565	8.76	176		
T	2023-01-15 12:39:04	51.492637000	-0.040853000	2.4	5.18	7.575	9.66	176		
T	2023-01-15 12:39:06	51.492666000	-0.040767000	2.5	4.91	7.582	6.79	176		
T	2023-01-15 12:39:09	51.492703000	-0.040656000	2.5	5.72	7.591	8.74	176		
T	2023-01-15 12:39:11	51.492696000	-0.040586000	2.6	6.77	7.595	4.92	176		
T	2023-01-15 12:39:14	51.492707000	-0.040495000	2.6	7.77	7.602	6.44	176		
T	2023-01-15 12:39:16	51.492647000	-0.040450000	2.6	4.52	7.609	7.37	176		
T	2023-01-15 12:39:19	51.492598000	-0.040399000	2.5	7.69	7.616	6.50	176		
T	2023-01-15 12:39:21	51.492537000	-0.040368000	2.4	4.68	7.623	7.12	176		
T	2023-01-15 12:39:24	51.492465000	-0.040332000	2.3	5.96	7.631	8.39	176		
T	2023-01-15 12:39:27	51.492381000	-0.040355000	2.2	5.27	7.641	9.48	176		
T	2023-01-15 12:39:29	51.492333000	-0.040346000	2.2	6.20	7.646	5.38	176		
T	2023-01-15 12:39:32	51.492300000	-0.040184000	2.1	4.22	7.658	11.84	176		
T	2023-01-15 12:39:34	51.492282000	-0.040066000	2.0	3.95	7.666	8.44	176		
T	2023-01-15 12:39:37	51.492166000	-0.040059000	1.9	3.87	7.679	12.92	176		
T	2023-01-15 12:39:39	51.492107000	-0.040059000	1.9	5.08	7.686	6.56	176		
T	2023-01-15 12:39:42	51.492049000	-0.039981000	1.8	5.93	7.694	8.43	176		
T	2023-01-15 12:39:45	51.491989000	-0.039918000	1.8	6.26	7.702	7.98	176		
T	2023-01-15 12:39:47	51.491942000	-0.039861000	1.8	5.08	7.709	6.56	176		
T	2023-01-15 12:39:50	51.491876000	-0.039753000	1.8	4.76	7.719	10.50	176		
T	2023-01-15 12:39:52	51.491836000	-0.039714000	1.8	6.40	7.725	5.21	176		
T	2023-01-15 12:39:55	51.491762000	-0.039637000	1.8	5.09	7.734	9.82	176		
T	2023-01-15 12:39:57	51.491705000	-0.039645000	1.9	5.24	7.741	6.37	176		
T	2023-01-15 12:40:00	51.491624000	-0.039666000	1.9	5.48	7.750	9.13	176		
T	2023-01-15 12:40:02	51.491579000	-0.039610000	2.0	5.26	7.756	6.34	176		
T	2023-01-15 12:40:05	51.491530000	-0.039542000	2.1	6.93	7.763	7.21	176		
T	2023-01-15 12:40:08	51.491465000	-0.039478000	2.2	5.89	7.772	8.49	176		
T	2023-01-15 12:40:10	51.491426000	-0.039432000	2.4	6.19	7.777	5.39	176		
T	2023-01-15 12:40:13	51.491360000	-0.039411000	2.5	6.68	7.785	7.49	176		
T	2023-01-15 12:40:15	51.491352000	-0.039365000	2.6	10.05	7.788	3.32	176		
T	2023-01-15 12:40:18	51.491398000	-0.039176000	3.0	3.55	7.802	14.09	176		
T	2023-01-15 12:40:20	51.491420000	-0.039102000	3.1	5.86	7.808	5.69	176		
T	2023-01-15 12:40:23	51.491474000	-0.038997000	3.3	5.29	7.817	9.45	176		
T	2023-01-15 12:40:26	51.491512000	-0.038866000	3.4	4.98	7.827	10.03	176		
T	2023-01-15 12:40:28	51.491543000	-0.038769000	3.6	4.40	7.835	7.57	176		
T	2023-01-15 12:40:31	51.491549000	-0.038612000	3.7	4.58	7.846	10.92	176		
T	2023-01-15 12:40:33	51.491575000	-0.038516000	3.9	4.59	7.853	7.27	176		
T	2023-01-15 12:40:36	51.491615000	-0.038396000	4.0	5.29	7.863	9.45	176		
T	2023-01-15 12:40:38	51.491613000	-0.038371000	4.2	19.04	7.864	1.75	176		
T	2023-01-15 12:40:41	51.491572000	-0.038327000	4.2	9.11	7.870	5.49	176		
T	2023-01-15 12:40:46	51.491427000	-0.038233000	4.2	4.79	7.887	17.40	176		
T	2023-01-15 12:40:49	51.491350000	-0.038164000	4.2	5.09	7.897	9.82	176		
T	2023-01-15 12:40:51	51.491311000	-0.038080000	4.2	4.58	7.904	7.27	176		
T	2023-01-15 12:40:54	51.491210000	-0.038000000	4.2	3.99	7.917	12.54	176		
T	2023-01-15 12:40:56	51.491162000	-0.037988000	4.2	6.17	7.922	5.41	176		
T	2023-01-15 12:40:59	51.491089000	-0.037967000	4.2	6.06	7.931	8.25	176		
T	2023-01-15 12:41:01	51.491042000	-0.037894000	4.2	4.58	7.938	7.28	176		
T	2023-01-15 12:41:04	51.490972000	-0.037826000	4.2	5.49	7.947	9.11	176		
T	2023-01-15 12:41:06	51.490922000	-0.037803000	4.2	5.76	7.953	5.79	176		
T	2023-01-15 12:41:09	51.490868000	-0.037804000	4.2	8.32	7.959	6.01	176		
T	2023-01-15 12:41:12	51.490766000	-0.037787000	4.3	4.38	7.970	11.41	176		
T	2023-01-15 12:41:14	51.490730000	-0.037734000	4.3	6.13	7.976	5.44	176		
T	2023-01-15 12:41:17	51.490712000	-0.037654000	4.3	8.47	7.981	5.91	176		
T	2023-01-15 12:41:19	51.490651000	-0.037634000	4.4	4.81	7.988	6.93	176		
T	2023-01-15 12:41:22	51.490580000	-0.037588000	4.4	5.87	7.997	8.52	176		
T	2023-01-15 12:41:24	51.490519000	-0.037572000	4.5	4.85	8.004	6.88	176		
T	2023-01-15 12:41:27	51.490451000	-0.037535000	4.6	6.26	8.012	7.99	176		
T	2023-01-15 12:41:29	51.490397000	-0.037496000	4.6	5.06	8.018	6.59	176		
T	2023-01-15 12:41:32	51.490312000	-0.037470000	4.6	5.19	8.028	9.63	176		
T	2023-01-15 12:41:35	51.490264000	-0.037377000	4.6	5.97	8.036	8.38	176		
T	2023-01-15 12:41:37	51.490225000	-0.037325000	4.5	5.90	8.042	5.65	176		
T	2023-01-15 12:41:40	51.490166000	-0.037300000	4.5	7.36	8.049	6.79	176		
T	2023-01-15 12:41:42	51.490119000	-0.037284000	4.4	6.24	8.054	5.35	176		
T	2023-01-15 12:41:45	51.490048000	-0.037224000	4.4	5.60	8.063	8.93	176		
T	2023-01-15 12:41:47	51.489999000	-0.037225000	4.3	6.11	8.069	5.45	176		
T	2023-01-15 12:41:50	51.489923000	-0.037224000	4.3	5.91	8.077	8.46	176		
T	2023-01-15 12:41:52	51.489871000	-0.037208000	4.2	5.66	8.083	5.89	176		
T	2023-01-15 12:41:55	51.489798000	-0.037170000	4.1	5.85	8.091	8.54	176		
T	2023-01-15 12:41:58	51.489739000	-0.037116000	4.0	6.61	8.099	7.56	176		
T	2023-01-15 12:42:00	51.489694000	-0.037078000	3.9	5.89	8.105	5.66	176		
T	2023-01-15 12:42:03	51.489606000	-0.037031000	3.8	4.84	8.115	10.32	176		
T	2023-01-15 12:42:05	51.489549000	-0.036991000	3.7	4.81	8.122	6.92	176		
T	2023-01-15 12:42:08	51.489501000	-0.036908000	3.5	6.36	8.130	7.86	176		
T	2023-01-15 12:42:11	51.489454000	-0.036794000	3.5	5.27	8.139	9.49	176		
T	2023-01-15 12:42:13	51.489472000	-0.036705000	3.4	5.13	8.146	6.50	176		
T	2023-01-15 12:42:15	51.489489000	-0.036611000	3.3	4.90	8.153	6.80	176		
T	2023-01-15 12:42:18	51.489502000	-0.036485000	3.1	5.64	8.161	8.87	176		
T	2023-01-15 12:42:21	51.489469000	-0.036358000	3.0	5.23	8.171	9.55	176		
T	2023-01-15 12:42:23	51.489455000	-0.036291000	2.9	6.79	8.176	4.91	176		
T	2023-01-15 12:42:26	51.489421000	-0.036171000	2.9	5.46	8.185	9.15	176		
T	2023-01-15 12:42:28	51.489400000	-0.036092000	2.8	5.59	8.191	5.96	176		
T	2023-01-15 12:42:31	51.489372000	-0.035965000	2.8	5.34	8.200	9.35	176		
T	2023-01-15 12:42:34	51.489309000	-0.035854000	2.7	4.80	8.211	10.42	176		
T	2023-01-15 12:42:36	51.489251000	-0.035807000	2.7	4.61	8.218	7.23	176		
T	2023-01-15 12:42:39	51.489196000	-0.035753000	2.7	6.97	8.225	7.18	176		
T	2023-01-15 12:42:41	51.489147000	-0.035740000	2.9	6.03	8.231	5.53	176		
T	2023-01-15 12:42:44	51.489060000	-0.035706000	3.2	5.02	8.241	9.96	176		
T	2023-01-15 12:42:46	51.489014000	-0.035696000	3.3	6.45	8.246	5.16	176		
T	2023-01-15 12:42:49	51.488931000	-0.035672000	3.7	5.33	8.255	9.38	176		
