Name,Club,Position,Age,Value
Douglas Luiz,Aston Villa,Central Midfield,25,€60.00m
Kevin De Bruyne,Manchester City,Attacking Midfield,32,€150.00m
Moussa Diaby,Aston Villa,Right Winger,24,€60.00m
João Palhinha,Fulham FC,Defensive Midfield,28,€60.00m
Ollie Watkins,Aston Villa,Centre-Forward,27,€60.00m
Kai Havertz,Arsenal FC,Attacking Midfield,24,€90.00m
Matheus Nunes,Manchester City,Central Midfield,25,€55.00m
Dejan Kulusevski,Tottenham Hotspur,Right Winger,23,€55.00m
Ben White,Arsenal FC,Right-Back,26,€55.00m
Levi Colwill,Chelsea FC,Centre-Back,20,€55.00m
Roméo Lavia,Chelsea FC,Defensive Midfield,19,€50.00m
Heung-min Son,Tottenham Hotspur,Centre-Forward,31,€90.00m
Lisandro Martínez,Manchester United,Centre-Back,25,€50.00m
Cody Gakpo,Liverpool FC,Centre-Forward,24,€60.00m
Jarrod Bowen,West Ham United,Right Winger,27,€50.00m
Reece James,Chelsea FC,Right-Back,24,€70.00m
Amadou Onana,Everton FC,Defensive Midfield,22,€50.00m
Diogo Jota,Liverpool FC,Left Winger,27,€60.00m
Kaoru Mitoma,Brighton & Hove Albion,Left Winger,26,€50.00m
Michael Olise,Crystal Palace,Right Winger,22,€50.00m
Anthony Gordon,Newcastle United,Left Winger,22,€50.00m
Eberechi Eze,Crystal Palace,Attacking Midfield,25,€48.00m
Brennan Johnson,Tottenham Hotspur,Right Winger,22,€48.00m
Pedro Porro,Tottenham Hotspur,Right-Back,24,€45.00m
Cole Palmer,Chelsea FC,Attacking Midfield,21,€45.00m
Mason Mount,Manchester United,Attacking Midfield,24,€75.00m
Sven Botman,Newcastle United,Centre-Back,23,€45.00m
Micky van de Ven,Tottenham Hotspur,Centre-Back,22,€45.00m
Mohammed Kudus,West Ham United,Attacking Midfield,23,€45.00m
Raheem Sterling,Chelsea FC,Left Winger,29,€160.00m
Pau Torres,Aston Villa,Centre-Back,26,€50.00m
Pedro Neto,Wolverhampton Wanderers,Right Winger,23,€42.00m
Jacob Ramsey,Aston Villa,Central Midfield,22,€42.00m
Oleksandr Zinchenko,Arsenal FC,Left-Back,27,€42.00m
Axel Disasi,Chelsea FC,Centre-Back,25,€42.00m
Conor Gallagher,Chelsea FC,Central Midfield,23,€42.00m
Manuel Akanji,Manchester City,Centre-Back,28,€42.00m
Joelinton,Newcastle United,Central Midfield,27,€42.00m
André Onana,Manchester United,Goalkeeper,27,€45.00m
Mykhaylo Mudryk,Chelsea FC,Left Winger,22,€60.00m
Ederson,Manchester City,Goalkeeper,30,€70.00m
Morgan Gibbs-White,Nottingham Forest,Attacking Midfield,23,€40.00m
Destiny Udogie,Tottenham Hotspur,Left-Back,21,€40.00m
Jurrien Timber,Arsenal FC,Centre-Back,22,€45.00m
Sandro Tonali,Newcastle United,Defensive Midfield,23,€60.00m
Nathan Aké,Manchester City,Centre-Back,28,€42.00m
Bryan Mbeumo,Brentford FC,Right Winger,24,€38.00m
Mateo Kovacic,Manchester City,Central Midfield,29,€45.00m
Leandro Trossard,Arsenal FC,Left Winger,29,€38.00m
James Ward-Prowse,West Ham United,Central Midfield,29,€38.00m
Rico Lewis,Manchester City,Right-Back,19,€38.00m
Boubacar Kamara,Aston Villa,Defensive Midfield,24,€38.00m
Nayef Aguerd,West Ham United,Centre-Back,27,€38.00m
Luke Shaw,Manchester United,Left-Back,28,€42.00m
Marc Guéhi,Crystal Palace,Centre-Back,23,€38.00m
Ibrahima Konaté,Liverpool FC,Centre-Back,24,€45.00m
John Stones,Manchester City,Centre-Back,29,€60.00m
Ezri Konsa,Aston Villa,Centre-Back,26,€35.00m
Tino Livramento,Newcastle United,Right-Back,21,€35.00m
João Pedro,Brighton & Hove Albion,Centre-Forward,22,€35.00m
Rodrigo Bentancur,Tottenham Hotspur,Central Midfield,26,€50.00m
Joachim Andersen,Crystal Palace,Centre-Back,27,€35.00m
Antony,Manchester United,Right Winger,23,€75.00m
Ryan Gravenberch,Liverpool FC,Central Midfield,21,€35.00m
Richarlison,Tottenham Hotspur,Centre-Forward,26,€65.00m
Ivan Toney,Brentford FC,Centre-Forward,27,€50.00m
